Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
L19Cs01.LSR1.minia	1	1	1	1	1	1	641948	641948	641948	641948	641948	641948	1	641948	641948	642011	26.29	26.29	641948	641948	641948	641948	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.965	1.000	0.00	219.23	14.49	641782	641782	641782	641782	641782	641782	1	1	1	1
L19Cs01.myzus.minia	449	108	1	0	0	0	382823	173595	5511	0	0	0	338	5511	333003	642011	28.53	26.29	1020	522	706	-	101	315	198	-	0	0	0	0	0	0	0	5 + 0 part	5900	50.597	1.007	0.00	196.10	9.54	5511	327027	1009	515	690	-	103	322	201	-
L19Cs01.rearranged.minia	21	21	20	16	8	3	528485	528485	524258	498526	359509	184206	21	79908	528485	642011	26.05	26.29	35275	32277	21903	13215	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.291	1.000	0.00	221.46	14.57	79908	528316	35275	32277	21903	13215	6	7	10	15
L19Cs01.schyzaphis.minia	265	32	0	0	0	0	180571	47150	0	0	0	0	164	3822	135352	642011	30.73	26.29	828	-	607	-	55	-	103	-	0	0	0	0	0	0	0	0 + 0 part	0	20.958	1.006	0.00	185.06	6.69	3822	135327	828	-	607	-	55	-	103	-
L1Vc01.LSR1.minia	3	2	2	2	2	1	642554	641965	641965	641965	641965	605864	3	605864	642554	642011	26.31	26.29	605864	605864	605864	605864	1	1	1	1	0	0	0	1	0	0	0	1 + 0 part	589	99.965	1.000	0.00	219.54	15.43	605779	641802	605779	605779	605779	605779	1	1	1	1
L1Vc01.myzus.minia	438	110	2	0	0	0	379261	178450	11466	0	0	0	335	5950	333033	642011	28.60	26.29	1044	523	709	-	99	312	195	-	0	0	0	0	0	0	0	6 + 0 part	6498	50.504	1.007	0.00	193.37	8.02	5950	326505	1021	513	693	-	101	319	199	-
L1Vc01.rearranged.minia	21	21	20	16	8	3	528129	528129	523900	498477	359496	184207	21	79912	528129	642011	26.05	26.29	35273	32286	21902	13228	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.241	1.000	0.00	219.51	15.34	79912	527957	35273	32286	21902	13228	6	7	10	15
L1Vc01.schyzaphis.minia	256	33	0	0	0	0	179402	49749	0	0	0	0	165	3794	138822	642011	30.78	26.29	831	-	634	-	55	-	103	-	0	0	0	0	0	0	0	1 + 0 part	589	21.441	1.004	0.00	183.07	5.09	3794	138204	831	-	634	-	55	-	103	-
L3Lc03.LSR1.minia	150	114	35	18	3	0	634538	612179	438629	312469	87513	0	138	29867	629364	642011	26.19	26.29	9720	9720	3660	3194	19	19	43	46	0	0	0	0	0	0	0	0 + 0 part	0	97.419	1.006	0.00	210.41	16.31	29867	629182	9717	9717	3660	3194	19	19	43	46
L3Lc03.myzus.minia	257	23	0	0	0	0	164954	31465	0	0	0	0	159	3614	121889	642011	29.05	26.29	762	-	594	-	57	-	103	-	0	0	0	0	0	0	0	0 + 0 part	0	18.888	1.005	0.00	171.53	9.07	3614	121871	762	-	594	-	57	-	103	-
L3Lc03.rearranged.minia	146	108	33	11	1	0	522402	498023	333370	175664	29867	0	134	29867	517170	642011	25.92	26.29	7645	5406	2970	1283	21	31	47	94	0	0	0	0	0	0	0	0 + 0 part	0	80.028	1.007	0.00	210.59	16.74	29867	516990	7645	5406	2970	1283	21	31	47	94
L3Lc03.schyzaphis.minia	64	4	0	0	0	0	39899	7985	0	0	0	0	34	3626	26509	642011	32.90	26.29	669	-	574	-	11	-	22	-	0	0	0	0	0	0	0	0 + 0 part	0	4.123	1.001	0.00	75.55	7.56	3626	26506	669	-	574	-	11	-	22	-
L3ML02.LSR1.minia	1	1	1	1	1	1	641927	641927	641927	641927	641927	641927	1	641927	641927	642011	26.30	26.29	641927	641927	641927	641927	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.965	1.000	0.00	224.37	15.43	641766	641766	641766	641766	641766	641766	1	1	1	1
L3ML02.myzus.minia	439	109	1	0	0	0	376720	173921	5511	0	0	0	335	5511	329853	642011	28.55	26.29	1021	520	704	-	101	318	196	-	0	0	0	0	0	0	0	5 + 0 part	5669	50.131	1.007	0.00	197.30	9.94	5511	324109	1017	512	691	-	103	324	200	-
L3ML02.rearranged.minia	21	21	20	16	8	3	528584	528584	524359	498635	359505	184202	21	79909	528584	642011	26.05	26.29	35273	32284	21904	13213	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.308	1.000	0.00	223.68	15.52	79909	528413	35273	32284	21904	13213	6	7	10	15
L3ML02.schyzaphis.minia	243	34	0	0	0	0	170480	49619	0	0	0	0	155	3826	131080	642011	30.72	26.29	833	-	646	-	52	-	97	-	0	0	0	0	0	0	0	0 + 0 part	0	20.330	1.004	0.00	190.78	4.60	3826	131071	833	-	646	-	52	-	97	-
L3ML04.LSR1.minia	188	138	39	11	1	0	629919	597517	371999	172077	29646	0	176	29646	624492	642011	26.17	26.29	6577	6365	2838	2732	29	30	66	70	0	0	0	1	0	0	0	0 + 0 part	0	96.480	1.008	0.00	225.38	15.50	29646	624336	6577	6365	2838	2732	29	30	66	70
L3ML04.myzus.minia	210	15	0	0	0	0	134608	20809	0	0	0	0	130	2417	98742	642011	29.16	26.29	747	-	620	-	49	-	85	-	0	0	0	0	0	0	0	0 + 0 part	0	15.287	1.006	0.00	166.08	6.11	2417	98721	745	-	620	-	49	-	85	-
L3ML04.rearranged.minia	170	121	30	11	0	0	515777	482388	283319	154214	0	0	161	22523	511732	642011	25.89	26.29	5523	3903	2464	1029	25	39	60	121	0	0	0	1	0	0	0	0 + 0 part	0	79.066	1.008	0.00	225.17	15.76	22523	511570	5523	3903	2464	1029	25	39	60	121
L3ML04.schyzaphis.minia	57	4	0	0	0	0	34207	6051	0	0	0	0	31	2419	22658	642011	33.44	26.29	663	-	591	-	12	-	21	-	0	0	0	0	0	0	0	0 + 0 part	0	3.503	1.008	0.00	128.95	8.89	2419	22658	663	-	591	-	12	-	21	-
L4Lc03.LSR1.minia	1	1	1	1	1	1	642101	642101	642101	642101	642101	642101	1	642101	642101	642011	26.29	26.29	642101	642101	642101	642101	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	207.01	15.73	641939	641939	641939	641939	641939	641939	1	1	1	1
L4Lc03.myzus.minia	431	113	2	0	0	0	382104	184700	11476	0	0	0	336	5959	339311	642011	28.48	26.29	1077	545	717	-	99	302	195	-	0	0	0	0	0	0	0	5 + 0 part	5873	51.561	1.007	0.00	190.92	9.67	5959	333382	1035	531	704	-	101	308	199	-
L4Lc03.rearranged.minia	21	21	20	16	8	3	528631	528631	524435	498705	359685	184220	21	79943	528631	642011	26.04	26.29	35271	32287	21905	13223	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.325	1.000	0.00	208.88	15.51	79943	528468	35271	32287	21905	13223	6	7	10	15
L4Lc03.schyzaphis.minia	254	35	0	0	0	0	181721	52751	0	0	0	0	169	3793	143993	642011	30.58	26.29	851	-	653	-	56	-	105	-	0	0	0	0	0	0	0	0 + 0 part	0	22.332	1.004	0.00	166.70	7.67	3793	143961	849	-	653	-	56	-	105	-
L6Lap03.LSR1.minia	2	2	2	2	2	1	642148	642148	642148	642148	642148	607293	2	607293	642148	642011	26.28	26.29	607293	607293	607293	607293	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	99.997	1.000	0.00	183.18	13.40	607198	641971	607198	607198	607198	607198	1	1	1	1
L6Lap03.myzus.minia	411	96	1	0	0	0	346404	152341	5509	0	0	0	317	5509	304617	642011	28.67	26.29	1002	-	700	-	96	-	189	-	0	0	0	0	0	0	0	6 + 0 part	5569	46.276	1.007	0.00	169.98	6.06	5509	299000	971	-	692	-	98	-	191	-
L6Lap03.rearranged.minia	22	22	19	16	8	3	528496	528496	518373	498554	359669	184195	22	79910	528496	642011	26.03	26.29	35265	32283	21902	13214	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.293	1.000	0.00	187.57	13.44	79910	528318	35265	32283	21902	13214	6	7	10	15
L6Lap03.schyzaphis.minia	215	24	0	0	0	0	146675	35729	0	0	0	0	136	3620	111381	642011	30.99	26.29	788	-	632	-	47	-	86	-	0	0	0	0	0	0	0	0 + 0 part	0	17.265	1.005	0.00	157.88	4.51	3620	111361	788	-	632	-	47	-	86	-
L6Mo02.LSR1.minia	3	3	3	3	3	2	642225	642225	642225	642225	642225	607372	3	474384	642225	642011	26.28	26.29	474384	474384	132988	132988	1	1	2	2	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	3.74	0.62	474354	642048	474354	474354	132921	132921	1	1	2	2
L6Mo02.myzus.minia	383	87	1	0	0	0	317878	134436	5484	0	0	0	290	5484	276142	642011	28.84	26.29	974	-	703	-	91	-	174	-	0	0	0	0	0	0	0	4 + 0 part	4805	42.016	1.006	0.00	1.48	0.74	5484	271337	967	-	695	-	93	-	177	-
L6Mo02.rearranged.minia	23	23	20	17	8	3	528566	528566	518437	498625	346518	171058	23	66789	528566	642011	26.04	26.29	35261	30604	19184	13172	6	8	11	16	0	0	0	0	0	0	0	0 + 0 part	0	82.296	1.000	0.00	4.16	0.57	66774	528389	35261	30526	19184	13172	6	8	11	16
L6Mo02.schyzaphis.minia	184	20	0	0	0	0	124778	30309	0	0	0	0	124	3624	98168	642011	31.06	26.29	743	-	596	-	43	-	79	-	0	0	0	0	0	0	0	0 + 0 part	0	15.235	1.004	0.00	2.04	0.00	3624	98168	743	-	596	-	43	-	79	-
L7Lc20.LSR1.minia	2	2	2	2	2	1	642136	642136	642136	642136	642136	607272	2	607272	642136	642011	26.28	26.29	607272	607272	607272	607272	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	206.07	15.89	607184	641955	607184	607184	607184	607184	1	1	1	1
L7Lc20.myzus.minia	407	83	1	0	0	0	331557	133516	5480	0	0	0	312	5480	289319	642011	28.64	26.29	954	-	676	-	95	-	186	-	0	0	0	0	0	0	0	5 + 0 part	4556	44.110	1.006	0.00	185.39	8.83	5480	284741	948	-	672	-	96	-	188	-
L7Lc20.rearranged.minia	22	22	19	16	8	3	528717	528717	518594	498775	359615	184196	22	79930	528717	642011	26.03	26.29	35263	32282	21900	13211	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.333	1.000	0.00	208.10	15.70	79930	528536	35263	32282	21900	13211	6	7	10	15
L7Lc20.schyzaphis.minia	200	21	0	0	0	0	133518	32574	0	0	0	0	127	3826	101176	642011	31.06	26.29	730	-	591	-	43	-	81	-	0	0	0	0	0	0	0	0 + 0 part	0	15.692	1.004	0.00	153.86	7.94	3826	101159	730	-	591	-	43	-	81	-
L7Tp01.LSR1.minia	15	12	10	9	7	4	642932	641549	633507	628320	590851	483366	12	176730	641549	642011	26.27	26.29	144072	108079	54485	54485	2	3	4	4	0	0	0	1	0	0	0	0 + 0 part	0	99.854	1.001	0.00	214.02	14.35	176728	641393	144057	108079	54428	54428	2	3	4	4
L7Tp01.myzus.minia	288	50	0	0	0	0	213005	72129	0	0	0	0	201	2905	174169	642011	29.58	26.29	892	-	661	-	66	-	125	-	0	0	0	0	0	0	0	2 + 0 part	1534	26.745	1.005	0.00	182.87	6.99	2905	172609	892	-	653	-	66	-	125	-
L7Tp01.rearranged.minia	29	28	23	18	8	2	528581	528035	509843	476872	302196	103733	29	52421	528581	642011	26.05	26.29	30379	22107	18828	8231	7	9	13	19	0	0	0	1	0	0	0	0 + 0 part	0	82.259	1.001	0.00	217.57	14.58	52364	528420	30304	22107	18828	8231	7	9	13	19
L7Tp01.schyzaphis.minia	111	10	0	0	0	0	70667	13223	0	0	0	0	65	1967	50036	642011	32.55	26.29	747	-	607	-	24	-	43	-	0	0	0	0	0	0	0	1 + 0 part	751	7.643	1.004	0.00	144.70	8.15	1967	49285	741	-	606	-	24	-	43	-
L7Tp17.LSR1.minia	6	4	4	4	4	3	642194	641229	641229	641229	641229	606598	4	375374	641229	642011	26.27	26.29	375374	375374	176730	176730	1	1	2	2	0	0	0	1	0	0	0	0 + 0 part	0	99.855	1.000	0.00	214.17	14.35	375359	641068	375359	375359	176728	176728	1	1	2	2
L7Tp17.myzus.minia	341	70	1	0	0	0	266042	104846	5426	0	0	0	245	5426	222854	642011	29.18	26.29	952	-	674	-	77	-	148	-	0	0	0	0	0	0	0	4 + 0 part	3668	33.966	1.005	0.00	185.73	6.42	5426	219131	943	-	663	-	78	-	150	-
L7Tp17.rearranged.minia	22	22	19	16	8	3	528360	528360	518217	498419	359371	184169	22	79890	528360	642011	26.04	26.29	35218	32281	21900	13203	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.267	1.000	0.00	217.55	14.58	79890	528193	35218	32281	21900	13203	6	7	10	15
L7Tp17.schyzaphis.minia	144	17	0	0	0	0	96615	23035	0	0	0	0	94	2204	74375	642011	31.68	26.29	752	-	606	-	34	-	61	-	0	0	0	0	0	0	0	1 + 0 part	697	11.448	1.002	0.00	157.83	5.44	2204	73674	752	-	604	-	34	-	61	-
L7Tp23.LSR1.minia	1	1	1	1	1	1	641892	641892	641892	641892	641892	641892	1	641892	641892	642011	26.30	26.29	641892	641892	641892	641892	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.965	1.000	0.00	216.58	14.65	641733	641733	641733	641733	641733	641733	1	1	1	1
L7Tp23.myzus.minia	430	105	2	0	0	0	372108	170729	11469	0	0	0	333	5955	328542	642011	28.63	26.29	1024	518	698	-	99	319	194	-	0	0	0	0	0	0	0	6 + 0 part	6668	49.783	1.007	0.00	192.42	8.76	5955	321830	1010	501	690	-	101	326	198	-
L7Tp23.rearranged.minia	21	21	20	16	8	3	528442	528442	524211	498487	359505	184203	21	79902	528442	642011	26.05	26.29	35270	32299	21904	13218	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.291	1.000	0.00	220.70	15.33	79902	528281	35270	32299	21904	13218	6	7	10	15
L7Tp23.schyzaphis.minia	246	33	0	0	0	0	174091	49200	0	0	0	0	162	3777	136597	642011	30.87	26.29	825	-	646	-	55	-	101	-	0	0	0	0	0	0	0	1 + 0 part	741	21.071	1.004	0.00	175.20	3.70	3777	135836	825	-	643	-	55	-	102	-
L9Ms03.LSR1.minia	16	12	10	9	5	3	644024	641831	638889	633716	565919	510235	14	280438	643182	642011	26.34	26.29	175201	175201	54596	54596	2	2	3	3	0	0	0	1	0	0	0	0 + 1 part	1056	99.900	1.001	0.00	222.18	13.72	280423	641942	175198	175198	54525	54525	2	2	3	3
L9Ms03.myzus.minia	301	52	1	0	0	0	227962	79767	5455	0	0	0	214	5455	188931	642011	29.38	26.29	878	-	657	-	68	-	132	-	0	0	0	0	0	0	0	2 + 1 part	2722	28.830	1.006	0.00	186.93	9.18	5455	186157	865	-	654	-	69	-	133	-
L9Ms03.rearranged.minia	26	26	21	18	7	3	528429	528429	513068	489710	300358	164302	26	60052	528429	642011	26.05	26.29	32269	22093	18831	11151	6	8	12	18	0	0	0	1	0	0	0	0 + 0 part	0	82.252	1.001	0.00	221.37	14.01	60052	528243	32269	22093	18831	11151	6	8	12	18
L9Ms03.schyzaphis.minia	123	14	0	0	0	0	81410	19617	0	0	0	0	77	2467	60995	642011	32.46	26.29	770	-	623	-	27	-	50	-	0	0	0	0	0	0	0	1 + 1 part	1683	9.174	1.007	0.00	171.47	6.79	2467	59309	745	-	607	-	28	-	51	-
L9Ms05.LSR1.minia	57	50	34	21	7	1	642510	638207	596142	495025	295926	77685	55	77685	641575	642011	26.31	26.29	21895	21895	11467	11467	9	9	20	20	0	0	0	1	0	0	0	0 + 0 part	0	99.532	1.004	0.00	216.74	13.77	77162	640919	21895	21895	11467	11467	9	9	20	20
L9Ms05.myzus.minia	136	16	0	0	0	0	94852	23370	0	0	0	0	97	3594	77601	642011	30.56	26.29	772	-	614	-	34	-	62	-	0	0	0	0	0	0	0	1 + 0 part	601	11.957	1.003	0.00	147.20	5.21	3594	76994	772	-	614	-	34	-	62	-
L9Ms05.rearranged.minia	64	58	39	21	1	0	528014	523887	474260	342179	44365	0	63	44365	527565	642011	26.07	26.29	12759	11138	8040	4514	14	19	28	41	0	0	0	1	0	0	0	0 + 0 part	0	81.894	1.003	0.00	218.16	13.69	44365	527419	12759	11138	8040	4514	14	19	28	41
L9Ms05.schyzaphis.minia	38	4	0	0	0	0	25528	7884	0	0	0	0	18	3351	16819	642011	35.50	26.29	937	-	605	-	5	-	11	-	0	0	0	0	0	0	0	0 + 0 part	0	2.619	1.000	0.00	107.05	11.89	3351	16817	935	-	605	-	5	-	11	-
L9Ms14.LSR1.minia	107	89	44	17	2	0	641972	630648	511376	313619	68513	0	102	37779	639838	642011	26.31	26.29	9481	9481	5809	5809	18	18	39	39	0	0	0	1	0	0	0	0 + 0 part	0	99.059	1.006	0.00	223.91	14.62	37779	639678	9481	9481	5809	5809	18	18	39	39
L9Ms14.myzus.minia	142	16	0	0	0	0	92058	22748	0	0	0	0	81	3024	64728	642011	31.26	26.29	775	-	608	-	28	-	51	-	0	0	0	0	0	0	0	0 + 0 part	0	10.026	1.006	0.00	147.58	7.77	3024	64700	775	-	605	-	28	-	51	-
L9Ms14.rearranged.minia	105	89	42	11	1	0	526809	516678	398595	179627	37171	0	100	37171	524675	642011	26.05	26.29	8083	6837	5083	2262	21	29	41	67	0	0	0	1	0	0	0	0 + 0 part	0	81.250	1.006	0.00	224.10	14.76	37171	524510	8083	6837	5014	2262	21	29	42	67
L9Ms14.schyzaphis.minia	34	3	0	0	0	0	22943	6113	0	0	0	0	15	2783	14416	642011	37.05	26.29	909	-	671	-	5	-	9	-	0	0	0	0	0	0	0	0 + 0 part	0	2.232	1.006	0.00	132.58	6.98	2783	14410	909	-	671	-	5	-	9	-
Lc.LSR1.minia	2	2	2	2	2	2	642157	642157	642157	642157	642157	642157	2	516116	642157	642011	26.28	26.29	516116	516116	516116	516116	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	196.88	13.86	516037	641928	516037	516037	516037	516037	1	1	1	1
Lc.myzus.minia	454	88	1	0	0	0	353747	135205	5520	0	0	0	322	5520	294400	642011	28.65	26.29	943	-	674	-	101	-	194	-	0	0	0	0	0	0	0	6 + 0 part	5966	44.514	1.009	0.00	175.66	7.00	5520	288385	929	-	653	-	102	-	197	-
Lc.rearranged.minia	22	22	21	16	8	3	528224	528224	523990	492073	353251	177995	22	73768	528224	642011	26.03	26.29	35278	32293	21886	11191	6	7	10	16	0	0	0	0	0	0	0	0 + 0 part	0	82.253	1.000	0.00	197.32	13.63	73768	527995	35278	32293	21886	11191	6	7	10	16
Lc.schyzaphis.minia	252	23	0	0	0	0	162183	33481	0	0	0	0	149	4320	116343	642011	30.79	26.29	751	-	595	-	53	-	96	-	0	0	0	0	0	0	0	0 + 0 part	0	17.998	1.007	0.00	146.26	5.19	4320	116318	751	-	595	-	53	-	96	-
Lus.LSR1.minia	9	8	7	7	6	5	643847	642901	641799	641799	623842	587271	9	188537	643847	642011	26.38	26.29	106676	106676	100737	100737	3	3	4	4	0	0	0	1	0	0	0	0 + 2 part	1876	99.916	1.001	0.00	206.09	13.87	188522	641716	106673	106673	100737	100737	3	3	4	4
Lus.myzus.minia	408	84	1	0	0	0	320222	129381	5519	0	0	0	282	5519	263528	642011	29.12	26.29	984	-	693	-	87	-	167	-	0	0	0	0	0	0	1	6 + 2 part	7828	39.610	1.005	0.00	154.15	3.93	5519	255669	945	-	662	-	88	-	172	-
Lus.rearranged.minia	25	25	23	20	8	1	526291	526291	517860	497659	292528	51730	25	51730	526291	642011	26.04	26.29	30358	21795	18931	13209	7	10	13	19	0	0	0	1	0	0	0	0 + 0 part	0	81.939	1.000	0.00	202.83	13.88	51715	526053	30278	21795	18931	13209	7	10	13	19
Lus.schyzaphis.minia	225	21	0	0	0	0	143669	29896	0	0	0	0	135	4320	103660	642011	31.50	26.29	739	-	585	-	48	-	88	-	0	0	0	0	0	0	1	0 + 2 part	2026	15.696	1.009	0.00	126.03	2.98	4320	101634	710	-	576	-	49	-	90	-
Mel.LSR1.minia	5	4	2	2	2	2	644937	644503	642308	642308	642308	642308	4	509222	644503	642011	26.38	26.29	509222	509222	509222	509222	1	1	1	1	0	0	0	0	0	0	0	2 + 0 part	2195	100.000	1.000	0.00	4.36	0.78	509110	642032	509110	509110	509110	509110	1	1	1	1
Mel.myzus.minia	498	101	1	0	0	0	386776	152535	5522	0	0	0	348	5522	319333	642011	28.68	26.29	958	-	676	-	109	-	209	-	0	0	0	0	0	0	0	7 + 0 part	8641	47.862	1.011	0.00	3.91	0.33	5522	310661	932	-	645	-	111	-	215	-
Mel.rearranged.minia	22	22	21	17	8	3	529414	529414	525179	499325	346707	171147	22	66801	529414	642011	26.03	26.29	35281	30615	19206	13184	6	8	11	16	0	0	0	0	0	0	0	0 + 0 part	0	82.417	1.001	0.00	4.72	0.57	66785	529149	35281	30534	19206	13180	6	8	11	16
Mel.schyzaphis.minia	300	28	0	0	0	0	191416	40511	0	0	0	0	170	4328	133343	642011	30.79	26.29	745	-	601	-	60	-	109	-	0	0	0	0	0	0	0	2 + 0 part	2624	20.193	1.008	0.00	2.31	0.00	4328	130712	739	-	585	-	61	-	112	-
Mil.LSR1.minia	29	26	21	18	9	4	643393	640916	628061	607338	473648	292896	29	101037	643393	642011	26.43	26.29	47556	47556	23303	23303	5	5	10	10	0	0	0	0	0	0	0	2 + 1 part	2965	99.718	1.000	0.00	177.29	13.12	101037	640243	47556	47556	23303	23303	5	5	10	10
Mil.myzus.minia	353	82	1	0	0	0	285604	123624	5522	0	0	0	257	5522	242667	642011	29.30	26.29	1008	-	683	-	80	-	153	-	0	0	0	0	0	0	0	7 + 1 part	8296	36.365	1.004	0.00	127.21	6.00	5522	234356	982	-	669	-	82	-	157	-
Mil.rearranged.minia	40	40	30	20	5	2	523185	523185	489196	413169	203572	120800	40	70554	523185	642011	26.06	26.29	18486	12966	11181	6316	8	13	19	29	0	0	0	0	0	0	0	0 + 0 part	0	81.475	1.000	0.00	176.65	13.57	70554	523025	18486	12966	11181	6316	8	13	19	29
Mil.schyzaphis.minia	200	22	0	0	0	0	132050	31473	0	0	0	0	118	4145	95434	642011	31.62	26.29	800	-	621	-	41	-	75	-	0	0	0	0	0	0	0	2 + 1 part	3022	14.284	1.008	0.00	113.40	5.45	4145	92399	778	-	580	-	42	-	78	-
MI.LSR1.minia	2	2	2	2	2	1	641819	641819	641819	641819	641819	599225	2	599225	641819	642011	26.30	26.29	599225	599225	599225	599225	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.945	1.000	0.00	216.16	14.81	599050	641644	599050	599050	599050	599050	1	1	1	1
MI.myzus.minia	416	91	1	0	0	0	328976	140219	5522	0	0	0	285	5522	270156	642011	28.93	26.29	1043	-	689	-	86	-	169	-	0	0	0	0	0	0	0	5 + 0 part	5627	40.948	1.006	0.00	172.32	7.99	5522	264480	1005	-	662	-	88	-	172	-
MI.rearranged.minia	21	21	20	16	8	3	526905	526905	522670	497467	359108	183968	21	79651	526905	642011	26.05	26.29	35278	32293	21911	13223	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.045	1.000	0.00	214.91	14.62	79651	526731	35278	32293	21911	13223	6	7	10	15
MI.schyzaphis.minia	247	21	0	0	0	0	157663	30963	0	0	0	0	140	4107	110204	642011	30.61	26.29	742	-	617	-	50	-	91	-	0	0	0	0	0	0	0	1 + 0 part	572	16.960	1.007	0.00	153.37	6.43	4107	109624	742	-	617	-	50	-	91	-
Os.LSR1.minia	37	37	28	20	10	1	638475	638475	609654	548462	376083	88145	37	88145	638475	642011	26.31	26.29	26658	26658	18326	18287	8	8	15	16	0	0	0	0	0	0	0	0 + 0 part	0	99.454	1.000	0.00	92.09	7.20	88145	638455	26658	26658	18326	18287	8	8	15	16
Os.myzus.minia	349	73	1	0	0	0	276744	112112	5039	0	0	0	243	5039	229148	642011	29.31	26.29	981	-	690	-	76	-	147	-	0	0	0	0	0	0	0	6 + 0 part	5162	34.749	1.004	0.00	70.82	3.59	5039	223974	949	-	683	-	77	-	149	-
Os.rearranged.minia	48	47	34	18	3	0	521286	520456	480267	362491	113217	0	48	46935	521286	642011	26.09	26.29	17214	12337	9403	4266	11	15	21	35	0	0	0	0	0	0	0	0 + 0 part	0	81.202	1.000	0.00	90.92	7.29	46930	521263	17214	12337	9403	4266	11	15	21	35
Os.schyzaphis.minia	176	21	0	0	0	0	117729	30958	0	0	0	0	106	3927	86824	642011	31.33	26.29	761	-	619	-	36	-	67	-	0	0	0	0	0	0	0	0 + 0 part	0	13.472	1.004	0.00	64.75	2.31	3927	86824	761	-	619	-	36	-	67	-
Ov.LSR1.minia	1	1	1	1	1	1	642017	642017	642017	642017	642017	642017	1	642017	642017	642011	26.30	26.29	642017	642017	642017	642017	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.966	1.000	0.00	216.58	14.80	642002	642002	642002	642002	642002	642002	1	1	1	1
Ov.myzus.minia	339	80	1	0	0	0	279345	123835	5523	0	0	0	243	5523	236420	642011	29.18	26.29	1041	-	708	-	75	-	144	-	0	0	0	0	0	0	0	6 + 0 part	5502	35.864	1.003	0.00	136.37	5.21	5523	230909	1022	-	695	-	76	-	146	-
Ov.rearranged.minia	21	21	19	15	7	3	522361	522361	515352	490532	353771	213224	21	82368	522361	642011	26.05	26.29	37218	34952	21643	10990	5	6	9	15	0	0	0	1	0	0	0	0 + 0 part	0	81.360	1.000	0.00	210.97	14.74	82368	522340	37218	34952	21643	10990	5	6	9	15
Ov.schyzaphis.minia	194	22	0	0	0	0	126405	31226	0	0	0	0	112	3690	90337	642011	31.41	26.29	797	-	608	-	38	-	71	-	0	0	0	0	0	0	0	0 + 0 part	0	14.029	1.003	0.00	111.02	2.22	3690	90336	797	-	608	-	38	-	71	-
Pea.LSR1.minia	130	115	49	14	0	0	631362	622405	451296	199163	0	0	124	18912	628797	642011	26.34	26.29	7587	7555	4723	4380	27	28	54	56	0	0	0	0	0	0	0	0 + 0 part	0	97.943	1.000	0.00	182.25	12.56	18912	628771	7587	7555	4723	4380	27	28	54	56
Pea.myzus.minia	347	62	0	0	0	0	269790	96388	0	0	0	0	239	3616	220708	642011	29.51	26.29	925	-	698	-	77	-	146	-	0	0	0	0	0	0	1	4 + 1 part	4385	33.514	1.005	0.00	138.50	2.79	3616	216315	909	-	675	-	78	-	148	-
Pea.rearranged.minia	121	105	43	7	0	0	515987	505231	352685	104833	0	0	117	18912	514282	642011	26.11	26.29	6196	5309	4407	1655	27	37	50	88	0	0	0	0	0	0	0	0 + 0 part	0	80.103	1.000	0.00	184.73	11.86	18912	514259	6196	5309	4407	1655	27	37	50	88
